ID,許可證字號,中文品名,主要功效,主要成分,申請商,警語簡化,網址
345,衛署健食字第A00127號,甘喜康膠囊,護肝,多醣總量 每份1.2 公克 含104 mg±20%,泰宗生物科技股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=115
346,衛署健食字第A00128號,養樂多 300LIGHT 活菌發酵乳,"輔助調整過敏體質功能, 免疫調節功能, 胃腸功能改善",養樂多代田菌 300億個以上,養樂多股份有限公司,有免疫力低下或自體免疫相關疾病者，食用前請洽詢醫師。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=116
347,衛署健食字第A00129號,LP33機能優酪乳,輔助調整過敏體質,每100毫升含總乳酸菌100億個以上。,統一企業股份有限公司,無。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=117
348,衛署健食字第A00130號,APF益生菌膠囊,"輔助調整過敏體質功能, 免疫調節功能",Lactobacillus paracasei 33,景岳生物科技股份有限公司,有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=118
349,衛署健食字第A00132號,威望高濃度魚油,調節血脂,魚油,維達股份有限公司,1. 嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=119
350,衛署健食字第A00133號,膳纖熟飯 健康多穀飯,調節血糖功能,難消化性麥芽糊精,華強實業股份有限公司,本產品不具第一型糖尿病患者之血糖調節作用。本產品是健康食品，並非治療及矯正疾病的藥品。糖尿病患者仍須就醫治療，多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=120
351,衛署健食字第A00134號,活綠美杜莎藻膠囊,護肝,含Beta-胡蘿蔔素,光璧企業股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=121
352,衛署健食字第A00135號,GMADP®乳酸菌口含錠,牙齒保健,副乾酪乳桿菌 L. paracasei ≥ 3.0×10^8 cells/g 為,景岳生物科技股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=122
353,衛署健食字第A00137號,台糖活力養生飲,免疫調節,以多醣體及牛磺酸為品管指標成分,台灣糖業股份有限公司,1、有自體免疫體質者，請洽醫生或營養師意見，小心使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=124
354,衛署健食字第A00138號,光泉活菌牛乳,胃腸功能改善,雙叉桿菌每毫升含1.0×10^6 CFU 以上。,光泉牧場股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=125
355,衛署健食字第A00141號,敏自寧膠囊,輔助調整過敏體質,約氏乳酸菌,創益生技股份有限公司,有自體免疫相關疾病者，不宜使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=127
356,衛署健食字第A00142號,頂級四物鐵飲料,促進鐵吸收,甘胺酸亞鐵,中天生物科技股份有限公司,1. 孕婦或接受醫師治療者，請與醫師商討後再飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=128
357,衛署健食字第A00143號,雞精王,抗疲勞,雞精『以總支鏈胺基酸「Leucine、Isoleucine、Valine』,佳格食品股份有限公司,1.孕婦忌食,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=129
358,衛署健食字第A00144號,紐崔萊薄荷大蒜片,調節血脂,蒜胺酸、潛在大蒜素,安麗日用品股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=133
359,衛署健食字第A00145號,御茶園每朝健康金纖烏龍,調節血脂,"兒茶素 
菊苣纖維",維他露食品股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=132
360,衛署健食字第A00146號,遠東極品 CV-66 茯加力藻錠(小球藻),調節血脂,"亞麻油酸 
次亞麻油酸",遠東生物科技股份有限公司,無。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=130
361,衛署健食字第A00147號,桂格機能燕麥片,調節血糖,"β-聚葡萄醣 
;鉻",佳格食品股份有限公司,對腎功能不佳之患者，不宜使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=136
362,衛署健食字第A00150號,台糖釋蟲草菌絲體,免疫調節,腺苷和麥角固醇,台灣糖業股份有限公司,1.均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=142
363,衛署健食字第A00151號,威望麥苗精,調節血脂,膳食纖維,維達股份有限公司,請配合多喝開水，如有腸胃道不適者，使用前請洽詢醫師。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=134
364,衛署健食字第A00153號,LS99機能優酪乳,輔助調整過敏體質,總乳酸菌;Lactobacillus salivarius subsp. Sal,光泉牧場股份有限公司,本品依每日建議攝取量400毫升，所含外加精緻糖量達26.9 公克，請注意熱量攝取。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=157
365,衛署健食字第A00154號,桐核麥藍莓微泡飲料,免疫調節,多醣體,桐核麥生物科技股份有限公司,均衡飲食及適當的運動，為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=138
366,衛署健食字第A00155號,健康調合油,調節血脂,油酸,佳格食品股份有限公司,1.三少(少鹽、少糖、少油)的飲食原則，有助身體健康。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=145
367,衛署健食字第A00156號,千沛純清可得膠囊,調節血脂,含HMG-COA還原酵素抑制劑Monacolin K,新萬仁化學製藥股份有限公司,患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=146
368,衛署健食字第A00157號,正宗蜆精,護肝,肝醣,佳格食品股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=140
369,衛署健食字第A00158號,心之友達Q10紅麴膠囊,調節血脂,"每份膠囊含 輔酵素Q10  27~30 毫克
HMG-CoA 還原酵素抑制劑 1",逢興生物科技股份有限公司,1. 一日請勿超過2 粒，多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=405
